句子,原始模型_查询服务器信息,原始模型_服务器现在开着吗,finetuned模型_查询服务器信息,finetuned模型_服务器现在开着吗
mc服开着吗？,0.1295918971300125,0.30015233159065247,0.32106536626815796,0.6469214558601379
mc服现在能玩了吗？,0.014908804558217525,0.3288173973560333,0.09264863282442093,0.585641086101532
mc服在线吗？,0.2882557511329651,0.29380467534065247,0.39169231057167053,0.4015393853187561
mc服是不是开启了？,0.13732393085956573,0.48051416873931885,0.21623198688030243,0.7991477847099304
现在mc服可以进入吗？,0.05419996380805969,0.32911208271980286,0.17739476263523102,0.6212637424468994
mc服是不是正常运行？,0.10937582701444626,0.3240306079387665,0.17554356157779694,0.5421711206436157
mc服有没有开？,0.10626963526010513,0.3295741081237793,0.27442818880081177,0.6678062081336975
mc服状态正常吗？,0.07417432963848114,0.2667907476425171,0.11137156933546066,0.3865312337875366
你能查下mc服的情况吗？,0.23871402442455292,0.1761760413646698,0.5294722318649292,0.39387983083724976
mc服现在能用吗？,0.05807846412062645,0.2987430989742279,0.19003169238567352,0.5994307398796082
现在mc服有开吗？,0.04335286468267441,0.44118422269821167,0.1601376235485077,0.8367649912834167
mc服目前在线吗？,0.2355024665594101,0.40101879835128784,0.29550594091415405,0.6301707625389099
mc服是开的吗？,0.11292973905801773,0.42038100957870483,0.23485131561756134,0.7777823805809021
mc服能玩吗？,0.04829541593790054,0.1667342483997345,0.15725745260715485,0.32960253953933716
请检查下mc服是否在线。,0.3412133455276489,0.25592052936553955,0.4562975764274597,0.3353070020675659
mc服开着没？,0.13164372742176056,0.30499401688575745,0.3273699879646301,0.6517283916473389
mc服现在正常吗？,-0.013569521717727184,0.26814696192741394,0.0908249169588089,0.5810497999191284
mc服有开吗？,0.1057995930314064,0.35696113109588623,0.25613483786582947,0.7383736968040466
mc服能连接吗？,0.22827257215976715,0.3674386739730835,0.2013085037469864,0.41608092188835144
mc服正在运行吗？,0.17061857879161835,0.4512137174606323,0.23006872832775116,0.6696419715881348
mc服现在是否开启？,0.1182989776134491,0.5530986785888672,0.16213855147361755,0.8671601414680481
能帮我查下mc服状态吗？,0.2940179407596588,0.28863325715065,0.47504812479019165,0.4231357276439667
mc服还在线吗？,0.20295850932598114,0.39570823311805725,0.209980309009552,0.5641137957572937
mc服是不是能连？,0.08545892685651779,0.21263080835342407,0.283982515335083,0.4775822162628174
mc服现在正常运行吗？,0.08314749598503113,0.403273344039917,0.13337086141109467,0.6725366711616516
mc服能加入吗？,0.08654002100229263,0.2278687208890915,0.24153132736682892,0.4626225233078003
mc服能玩起来吗？,0.0407884381711483,0.16134873032569885,0.14959582686424255,0.3402152955532074
mc服现在是否可以加入？,0.06477765738964081,0.3461747169494629,0.16024743020534515,0.612561047077179
mc服状态如何？,0.2632113993167877,0.36555060744285583,0.4046529233455658,0.5066629648208618
mc服是否可以进入？,0.10934482514858246,0.232848659157753,0.2659977078437805,0.45875561237335205
mc服的状态能检查一下吗？,0.2817753851413727,0.28907322883605957,0.4171857237815857,0.4028065800666809
mc服是开着的吧？,0.09439241886138916,0.2985403537750244,0.29099392890930176,0.6794719099998474
mc服可不可以玩？,0.02499847300350666,0.16206854581832886,0.12655004858970642,0.299396276473999
mc服是否能连接？,0.22470255196094513,0.37682244181632996,0.21507278084754944,0.46230021119117737
mc服是不是正常的？,-0.011777486652135849,0.13521736860275269,0.12332932651042938,0.364711731672287
mc服能上去吗？,0.07110793143510818,0.22146224975585938,0.21630056202411652,0.4492310881614685
mc服还能玩吗？,0.026113536208868027,0.23178550601005554,0.0903535708785057,0.4321780204772949
mc服是否正常？,0.002079904777929187,0.16506458818912506,0.12421802431344986,0.3833818733692169
mc服还可以玩吗？,0.04003877937793732,0.14959123730659485,0.1612277626991272,0.31463152170181274
mc服当前能用吗？,0.08644761890172958,0.28306883573532104,0.21254698932170868,0.5720082521438599
mc服有问题吗？,0.0018685654504224658,0.16625648736953735,0.1314198225736618,0.3947138786315918
mc服是否开启了？,0.14785520732402802,0.48124030232429504,0.23249347507953644,0.8035417795181274
现在mc服在线吗？,0.21737748384475708,0.42042794823646545,0.27547192573547363,0.5949558615684509
mc服已经开了吗？,0.06914635002613068,0.4638137221336365,0.15436461567878723,0.8132703900337219
mc服可以加入了吗？,0.07636919617652893,0.22417984902858734,0.2331615835428238,0.4586646258831024
你能帮我看看mc服状态吗？,0.24389536678791046,0.28616267442703247,0.37682831287384033,0.40693336725234985
mc服还能连上去吗？,0.07574531435966492,0.245856374502182,0.19281268119812012,0.47002530097961426
mc服在开吗？,0.1175445020198822,0.42579540610313416,0.23295290768146515,0.7762407064437866
mc服能进去玩吗？,0.09926054626703262,0.2406506985425949,0.20247167348861694,0.4023563861846924
你能检查下mc服现在吗？,0.1918434500694275,0.3028918504714966,0.37303638458251953,0.580623209476471
服开着吗？,0.030030887573957443,0.1457199901342392,0.29092535376548767,0.43767043948173523
服现在能玩了吗？,-0.1130177229642868,0.18993470072746277,0.10087265074253082,0.5175469517707825
服在线吗？,0.18843890726566315,0.17293518781661987,0.33756184577941895,0.27496474981307983
服是不是开启了？,0.013031049631536007,0.33824798464775085,0.21954527497291565,0.7357574105262756
现在服可以进入吗？,-0.04242212697863579,0.24496109783649445,0.18951931595802307,0.5639170408248901
服是不是正常运行？,0.0018265853868797421,0.1999645084142685,0.19508297741413116,0.4466971158981323
服有没有开？,-0.02232108823955059,0.15464076399803162,0.2655031085014343,0.5481151342391968
服状态正常吗？,-0.04840511456131935,0.13711966574192047,0.07143349200487137,0.30779150128364563
你能查下服的情况吗？,0.29125654697418213,0.1396728754043579,0.4986797571182251,0.1990828663110733
服现在能用吗？,-0.08200703561306,0.15466192364692688,0.19773948192596436,0.5017487406730652
现在服有开吗？,-0.049849994480609894,0.36825254559516907,0.18938341736793518,0.7908410429954529
服目前在线吗？,0.15270744264125824,0.28846561908721924,0.28565463423728943,0.4958621859550476
服是开的吗？,-0.016041629016399384,0.24725401401519775,0.2369498461484909,0.7020241618156433
服能玩吗？,-0.08040367066860199,-0.04858134314417839,0.18955743312835693,0.20020215213298798
请检查下服是否在线。,0.2812975347042084,0.15160545706748962,0.45842444896698,0.24758411943912506
服开着没？,0.0365527905523777,0.14913100004196167,0.304399698972702,0.4399060010910034
